"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 29 23:33:29 UTC 2025","Mon Dec 29 23:33:32 UTC 2025","3394","Surefire suite","Surefire test","com.cjs.qa.junit.tests.AdvancedFeaturesTests","com.cjs.qa.junit.tests.AdvancedFeaturesTests","testKeyboardActions","testKeyboardActions [DEV]","Test advanced keyboard interactions"
"passed","Mon Dec 29 23:32:22 UTC 2025","Mon Dec 29 23:32:22 UTC 2025","396","Surefire suite","Surefire test","com.cjs.qa.junit.tests.NegativeTests","com.cjs.qa.junit.tests.NegativeTests","testInvalidUrlNavigation","testInvalidUrlNavigation [DEV]","Test invalid URL navigation"
"passed","Mon Dec 29 23:32:43 UTC 2025","Mon Dec 29 23:32:44 UTC 2025","558","Surefire suite","Surefire test","com.cjs.qa.junit.tests.SmokeTests","com.cjs.qa.junit.tests.SmokeTests","smokeTestFormInput","smokeTestFormInput [DEV]","Verify basic form input functionality"
"passed","Mon Dec 29 23:32:29 UTC 2025","Mon Dec 29 23:32:35 UTC 2025","5583","Surefire suite","Surefire test","com.cjs.qa.junit.tests.NegativeTests","com.cjs.qa.junit.tests.NegativeTests","testErrorRecovery","testErrorRecovery [DEV]","Test recovery after error"
"passed","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","111","","Robot Framework Tests","","RobotFramework","","Create Post Test [PROD]","Robot Framework test: Create Post Test"
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/applications.spec.ts","","Applications Integration Tests › should edit an existing application [DEV]","Playwright test: Applications Integration Tests › should edit an existing application"
"passed","Mon Dec 29 23:33:19 UTC 2025","Mon Dec 29 23:33:22 UTC 2025","2573","Surefire suite","Surefire test","com.cjs.qa.junit.tests.DataDrivenTests","com.cjs.qa.junit.tests.DataDrivenTests","testSearchWithMultipleQueries","testSearchWithMultipleQueries [DEV]","Test Google search with multiple search terms"
"passed","Mon Dec 29 23:33:50 UTC 2025","Mon Dec 29 23:33:51 UTC 2025","1045","Surefire suite","Surefire test","com.cjs.qa.junit.tests.SimpleGridTest","com.cjs.qa.junit.tests.SimpleGridTest","testNavigateToGitHub","testNavigateToGitHub [DEV]","Verify navigation to GitHub.com works correctly"
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/applications.spec.ts","","Applications Integration Tests › should create a new application [TEST]","Playwright test: Applications Integration Tests › should create a new application"
"passed","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","692","","Cypress Tests","","Cypress","","HomePage [TEST]","Cypress test: ['HomePage', 'should display the navigation panel']"
"passed","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","116","","Robot Framework Tests","","RobotFramework","","Get Posts API Test [PROD]","Robot Framework test: Get Posts API Test"
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/applications.spec.ts","","Applications Integration Tests › should create a new application [DEV]","Playwright test: Applications Integration Tests › should create a new application"
"passed","Mon Dec 29 23:32:38 UTC 2025","Mon Dec 29 23:32:38 UTC 2025","0","Surefire suite","Surefire test","com.cjs.qa.junit.tests.SecretManagerSmokeTest","com.cjs.qa.junit.tests.SecretManagerSmokeTest","smokeTestPasswordRetrieval","Skip if credentials not available [DEV]","Verify that SecureConfig can retrieve a password from Google Cloud Secret Manager"
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/companies.spec.ts","","Companies Integration Tests › should navigate to companies from home page [DEV]","Playwright test: Companies Integration Tests › should navigate to companies from home page"
